patient,class,organ,dice,prediction_voxels,ground_truth_voxels
Patient_01,0,background,0.9983926105895468,14902659,14873573
Patient_01,1,esophagus,0.47630807223336935,4871,8087
Patient_01,2,heart,0.8139844771293425,66927,91420
Patient_01,3,trachea,0.879687401525178,7860,8007
Patient_01,4,aorta,0.7511711850088318,25427,26657
Patient_11,0,background,0.997635189864143,11695313,11724749
Patient_11,1,esophagus,0.54577685088634,4190,5400
Patient_11,2,heart,0.7003938981594213,86991,52639
Patient_11,3,trachea,0.7341302555647156,2384,2468
Patient_11,4,aorta,0.5467969828959949,7602,11224
Patient_15,0,background,0.9955374865975581,9639776,9619774
Patient_15,1,esophagus,0.24955974842767295,5096,6829
Patient_15,2,heart,0.8196754697148864,167876,136564
Patient_15,3,trachea,0.6294416243654822,5319,9062
Patient_15,4,aorta,0.29856462044706683,12333,58171
Patient_17,0,background,0.9988375817294981,10810287,10801555
Patient_17,1,esophagus,0.5270767971627336,4064,3267
Patient_17,2,heart,0.8882754376120051,54626,55860
Patient_17,3,trachea,0.7077779405302476,3142,3685
Patient_17,4,aorta,0.5665703903847945,6857,14609
Patient_19,0,background,0.998186784850633,12358761,12334944
Patient_19,1,esophagus,0.41607435757244393,3271,4045
Patient_19,2,heart,0.8501016654045448,77858,89849
Patient_19,3,trachea,0.3206693183376766,2257,5034
Patient_19,4,aorta,0.5415567043852355,9693,17968
