patient,class,organ,dice,prediction_voxels,ground_truth_voxels
Patient_01,0,background,0.9974424808985545,14833341,14873573
Patient_01,1,esophagus,0.48571016166281755,5769,8087
Patient_01,2,heart,0.780115540974253,118895,91420
Patient_01,3,trachea,0.6459552335840996,13527,8007
Patient_01,4,aorta,0.7099524407895783,36212,26657
Patient_11,0,background,0.9904709173450522,11519776,11724749
Patient_11,1,esophagus,0.4511343804537522,3768,5400
Patient_11,2,heart,0.3276154733645418,248989,52639
Patient_11,3,trachea,0.34224688866464853,9424,2468
Patient_11,4,aorta,0.5887287839359926,14523,11224
Patient_15,0,background,0.9939367264875055,9610927,9619774
Patient_15,1,esophagus,0.3014705882352941,5139,6829
Patient_15,2,heart,0.7447400659267474,190769,136564
Patient_15,3,trachea,0.5627285129604366,9263,9062
Patient_15,4,aorta,0.34412815807266156,14302,58171
Patient_17,0,background,0.9975788753009247,10761564,10801555
Patient_17,1,esophagus,0.5651515151515152,3333,3267
Patient_17,2,heart,0.7329735916932385,90912,55860
Patient_17,3,trachea,0.4904296393658096,8488,3685
Patient_17,4,aorta,0.6934580715651462,14679,14609
Patient_19,0,background,0.9971471097674011,12304630,12334944
Patient_19,1,esophagus,0.5031091011871114,3031,4045
Patient_19,2,heart,0.7594696441032799,125101,89849
Patient_19,3,trachea,0.3836506361093567,6049,5034
Patient_19,4,aorta,0.6379327031648224,13029,17968
